Trajectory ID,SMILES,PSMILES,CONDUCTIVITY,log10_cond,fold
27095,CCCCSCC(CO*)NC(=O)*,CCCCSCC(CO[*])NC(=O)[*],5.84e-05,-4.2335871528876,0
27096,CC(C)CC(NC(=O)*)C(O*)C(F)(F)F,CC(C)CC(NC(=O)[*])C(O[*])C(F)(F)F,2.66e-05,-4.575118363368933,3
27097,CC(C)C(C)(CNC(=O)*)NCCN*,CC(C)C(C)(CNC(=O)[*])NCCN[*],5.88e-05,-4.230622673923862,3
27098,CCCCOCC(CNC(=O)*)O*,CCCCOCC(CNC(=O)[*])O[*],0.000128,-3.8927900303521317,3
27099,CCC(CC)SCC(COC(=O)*)O*,CCC(CC)SCC(COC(=O)[*])O[*],4.36e-05,-4.360513510731414,3
27100,CC(CCCC(C)OC(=O)*)O*,CC(CCCC(C)OC(=O)[*])O[*],6.6e-05,-4.180456064458132,0
27101,CC(C)C(C)SCC(COC(=O)*)O*,CC(C)C(C)SCC(COC(=O)[*])O[*],2.68e-05,-4.5718652059712115,0
27102,CC(C)=CCCC(CO*)OC(=O)*,CC(C)=CCCC(CO[*])OC(=O)[*],2.38e-05,-4.623423042943488,3
27103,CC(CCSCC(C)(C)O*)OC(=O)*,CC(CCSCC(C)(C)O[*])OC(=O)[*],3.99e-05,-4.399027104313252,2
27104,CC(C)(COCOCC(C)(C)NC(=O)*)N*,CC(C)(COCOCC(C)(C)NC(=O)[*])N[*],8.36e-05,-4.077793722560983,3
27105,CC(NC(C)C(C)OC(=O)*)C(C)O*,CC(NC(C)C(C)OC(=O)[*])C(C)O[*],3.7e-05,-4.431798275933005,3
27106,CC(C)CCCSCC(COC(=O)*)O*,CC(C)CCCSCC(COC(=O)[*])O[*],5.7e-05,-4.2441251443275085,1
27107,CCCC(CSC(C)C(C)O*)OC(=O)*,CCCC(CSC(C)C(C)O[*])OC(=O)[*],2.95e-05,-4.5301779840218375,2
27108,CC(CCOC(=O)*)SCC(C)(C)CO*,CC(CCOC(=O)[*])SCC(C)(C)CO[*],4.55e-05,-4.341988603342887,2
27109,CC(CCO*)SCCCCOC(=O)*,CC(CCO[*])SCCCCOC(=O)[*],0.000137,-3.8632794328435933,3
