model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10,precision_at_1e4,recall_at_1e4,f1_at_1e4,threshold_enrichment_at_1e4,top100_true_ge_1e4_hit_rate,top100_enrichment,top100_mean_true_log10_cond,top100_median_true_log10_cond,tail_mae_true_ge_1e4,tail_rmse_true_ge_1e4,baseline_model_id,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,delta_recall_at_1e4_vs_baseline,delta_top100_enrichment_vs_baseline,passes_screening_constraints,score_recall_at_1e4,score_top100_enrichment,score_spearman,score_tail_mae_inverse,score_global_mae_inverse,cej_screening_score,pareto_candidate,recommended_role
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,6270,701,0.13299648409050757,0.17516683128860622,0.4750800596249797,0.6966843231284351,0.6533810224813051,0.1065550531456938,0.27184604606756646,1.0249830895152172,0.6873786407766991,0.5049928673323824,0.5822368421052632,6.148165588687451,0.95,8.497146932952925,-3.6271642198736918,-3.688246138944246,0.15496142107714866,0.19468867194617498,baseline_unweighted__ridge_alpha_1,-0.004055363343905771,-0.0030187506357672034,0.01423197978447821,0.054208273894436554,0.08944365192582104,True,0.3956834532374102,0.5999999999999992,0.9546016345797691,0.4328572382881757,0.9622345793763558,0.6491049628749859,True,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,1.0,6270,701,0.14209758319193602,0.18627070670806914,0.4064211093715633,0.6760466462751563,0.6365138718877474,0.11317967928188555,0.2933212954705183,0.9290801889506186,0.5754583921015515,0.5820256776034237,0.5787234042553191,5.1471100120923365,0.97,8.676034236804565,-3.6379806633323555,-3.709965388637482,0.1348108952661911,0.17503933853415962,baseline_unweighted__ridge_alpha_1,0.005045735757522679,0.008085124783695719,-0.00263517080907949,0.13124108416547792,0.26833095577746136,True,0.7841726618705037,1.0,0.20901356260441903,0.8606549672643086,0.19288231603655706,0.6458764704836396,False,not recommended
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,6270,701,0.1393692172404177,0.18370645741077823,0.4226513323946042,0.683374193292609,0.6403062528999053,0.1115466441639339,0.28652658308126927,0.9239424737041295,0.6365159128978225,0.5420827389443652,0.5855161787365177,5.693230775847856,0.97,8.676034236804565,-3.6284503546573603,-3.6914473847488107,0.14138840257578647,0.17882814483445136,baseline_unweighted__ridge_alpha_1,0.00231736980600436,0.005520875486404814,0.0011572102030783515,0.0912981455064194,0.26833095577746136,True,0.5827338129496403,1.0,0.37665029717716053,0.7210138126975785,0.4235219889624793,0.6426938829218509,False,not recommended
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,6270,701,0.14064764307311126,0.18396497042722504,0.42102529091470386,0.6776278638009731,0.6374233524030691,0.11155104197922228,0.28952164797783536,0.8912299005209126,0.5861561119293078,0.5677603423680456,0.5768115942028986,5.242794324959715,0.97,8.676034236804565,-3.637691335644488,-3.709965388637482,0.14001941332916812,0.1807169941847378,baseline_unweighted__ridge_alpha_1,0.003595795638697913,0.005779388502851618,-0.0017256902937577978,0.11697574893009982,0.26833095577746136,True,0.7122302158273379,1.0,0.24921583744370596,0.7500775947641293,0.31545154637818984,0.6377300926169236,False,not recommended
smooth_sigmoid_tail_a2_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.05,Ridge,10.0,6270,701,0.1370980057552031,0.17920692934567806,0.45058701427672,0.687500830909545,0.6474098302914528,0.10987767160072304,0.2830418161218108,0.885844213991211,0.6214057507987221,0.5549215406562055,0.5862848530519971,5.55807996791439,0.95,8.497146932952925,-3.6346138221996274,-3.6991057637908638,0.14586557427650593,0.18757505962616744,baseline_unweighted__ridge_alpha_1,4.6158320789746465e-05,0.0010213474213046358,0.008260787594625896,0.10413694721825967,0.08944365192582104,True,0.6474820143884894,0.5999999999999992,0.6906536934303797,0.6259629984522018,0.6155165686499979,0.6362231773485281,False,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.1,6270,701,0.14242257892357055,0.18662602625475752,0.40415439394124497,0.6748006660643558,0.6351927563424474,0.11345978636730525,0.2937562574755475,0.9266343423593968,0.5706293706293706,0.5820256776034237,0.576271186440678,5.10391748052233,0.97,8.676034236804565,-3.639716687918876,-3.714466010694877,0.13506419520281712,0.1753982105267829,baseline_unweighted__ridge_alpha_1,0.0053707314891572044,0.0084404443303841,-0.003956286354379501,0.13124108416547792,0.26833095577746136,True,0.7841726618705037,1.0,0.15061555478363653,0.8552773836391964,0.16540912857620385,0.6292692532566633,False,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,6270,701,0.14245782757144054,0.18666481943089366,0.40390665629829636,0.6746654945031697,0.6350353883024376,0.11355837751145237,0.29399002448419065,0.9263481423196467,0.5704323570432357,0.5834522111269614,0.5768688293370944,5.1021553190600395,0.97,8.676034236804565,-3.6397166879188756,-3.714466010694877,0.1350930811545193,0.17543735355477247,baseline_unweighted__ridge_alpha_1,0.0054059801370272,0.008479237506520243,-0.004113654394389377,0.13266761768901564,0.26833095577746136,True,0.7913669064748199,1.0,0.14365932747715143,0.854664131922917,0.16242941956345483,0.629137624837091,False,not recommended
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,10.0,6270,701,0.13643764234630756,0.17860039721097182,0.45429973572952065,0.6880614415742506,0.6469984441300086,0.10948619644401214,0.28248128595082805,0.8659357451859799,0.6333333333333333,0.5420827389443652,0.5841660261337434,5.664764621968616,0.95,8.497146932952925,-3.632388162208325,-3.6914473847488107,0.14797199171721068,0.18850105956773824,baseline_unweighted__ridge_alpha_1,-0.0006142050881057792,0.0004148152865983967,0.00784940143318169,0.0912981455064194,0.08944365192582104,True,0.5827338129496403,0.5999999999999992,0.6724689613236019,0.5812435402175589,0.6713397255674758,0.6180647353698854,False,not recommended
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,6270,701,0.14171330929573683,0.18496827258074458,0.4146928833783764,0.6770535355381447,0.6389109151379879,0.11344737077358502,0.29088418548794165,0.9214191833923522,0.5674547983310153,0.5820256776034237,0.5746478873239437,5.075522946555586,0.96,8.586590584878744,-3.6461939545835436,-3.718966632752272,0.1376077219297238,0.18027079932342968,baseline_unweighted__ridge_alpha_1,0.00466146186132349,0.00678269065637116,-0.0002381275588390075,0.13124108416547792,0.1788873038516403,True,0.7841726618705037,0.7999999999999976,0.3149714032886031,0.8012780504421904,0.2253665235469276,0.6130341322237136,False,not recommended
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,6270,701,0.1330473634397752,0.17461620700773808,0.4783749686478378,0.6966875071299873,0.6544080521442337,0.10691473693764397,0.27402296672356785,0.9752200870503138,0.667910447761194,0.5106990014265336,0.5788197251414713,5.974034960717099,0.94,8.407703281027104,-3.6306320947359376,-3.688246138944246,0.1561804348342481,0.19755294253168937,baseline_unweighted__ridge_alpha_1,-0.004004483994638153,-0.0035693749166353372,0.015259009447406768,0.05991440798858777,0.0,True,0.4244604316546764,0.3999999999999968,1.0,0.40697745124092055,0.9579335447342702,0.6108517573099469,True,not recommended
