dataset,sample_id,traj_id,replica,group,cutoff_source,cutoff_nm,method_id,method,parameter,n_frames,sigma_cNE0_corrected_S_cm,sigma_NE_S_cm,sigma_ref_S_cm,pred_ref,NE_ref,cNE_over_NE,abs_log_error,D_Li_cm2s,D_an_cm2s,V_nm3,N_LI,N_AN,neutral_pop,charged_pop,free_cation_count,free_anion_count,free_cation_fraction,free_anion_fraction,largest_cluster_size,pop_1_0,pop_0_1,pop_1_1,pop_2_1,pop_1_2,pop_2_2,alpha_Li_sum,alpha_AN_sum
ref,Traj_13578,13578,1,middle_stratified,rdf_min,0.324,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0001111311223788,0.0003872204703901,6.57e-05,1.69149349130654,5.893766672604262,0.2869970233414626,0.2282703310065932,4.104764348195804e-08,3.138558554665276e-08,98.52406848094054,100,100,49.141943222710914,56.52578968412636,26.04358256697321,14.535385845661736,0.2604358256697321,0.1453538584566173,14,26.04358256697321,14.535385845661736,45.13874450219912,2.150339864054378,11.77329068372651,3.636145541783287,100.0,100.0
ref,Traj_13773,13773,1,middle_stratified,rdf_min,0.33,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.805120814620426e-05,7.163812650026796e-05,3.92e-05,0.4604900037297005,1.8275032270476523,0.2519776692671707,0.3367797929853752,8.291714625869874e-09,4.6936890797799586e-09,95.47156372234116,100,100,53.64334266293483,49.88764494202321,22.50659736105558,12.053178728508597,0.2250659736105558,0.1205317872850859,14,22.50659736105558,12.053178728508597,49.82167133146741,2.299880047980808,11.351059576169533,3.420231907237105,100.0,100.0
ref,Traj_13835,13835,1,middle_stratified,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.355233285716415e-05,8.579804800868323e-05,5.84e-05,0.4032933708418519,1.469144657682932,0.2745089591639722,0.3943789166744175,1.2174014098130022e-08,5.574727903140717e-09,108.95645598564587,100,100,51.57017193122751,54.25869652139144,25.095561775289884,13.788084766093563,0.2509556177528988,0.1378808476609356,12,25.095561775289884,13.788084766093563,47.906037584966015,1.98640543782487,11.643342662934826,3.3786485405837663,100.0,100.0
ref,Traj_13857,13857,1,middle_stratified,rdf_min,0.334,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0003235343868288,0.0010273850554579,4.33e-05,7.471925792814048,23.72713753944342,0.3149105441140087,0.8734325500620517,1.2206475104495926e-07,7.945970470113415e-08,103.31355653246705,100,100,46.33466613354658,62.03158736505399,28.9672131147541,17.374650139944023,0.289672131147541,0.1737465013994402,16,28.9672131147541,17.374650139944023,42.369052379048384,2.0035985605757696,11.403838464614154,3.5669732107157137,100.0,100.0
ref,Traj_13950,13950,1,middle_stratified,rdf_min,0.332,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,4.803556693408803e-05,0.0001472657995125,6.41e-05,0.7493848195645558,2.2974383699297976,0.3261827735502888,0.1252951087417157,1.4590671935258932e-08,9.645521346614416e-09,86.68127827534754,100,100,47.53858456617353,64.07556977209117,30.598960415833663,18.19312275089964,0.3059896041583366,0.1819312275089964,14,30.598960415833663,18.19312275089964,44.65293882447021,1.5417832866853258,11.845261895241904,2.682526989204318,100.0,100.0
ref,Traj_13978,13978,1,middle_stratified,rdf_min,0.336,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,5.291909756192505e-05,0.0001771614992823,5.36e-05,0.9872965963045718,3.3052518522817165,0.2987054059505362,0.0055523602093921,1.651637060301364e-08,1.5568370345043122e-08,95.38761487437098,100,100,51.64814074370252,59.101559376249504,28.01199520191924,16.714114354258296,0.2801199520191923,0.1671411435425829,11,28.01199520191924,16.714114354258296,48.95481807277089,1.5381847261095565,11.38624550179928,2.4934026389444224,100.0,100.0
ref,Traj_14006,14006,1,middle_stratified,rdf_min,0.336,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,8.319454012410896e-05,0.0002111386523624,0.000135,0.6162558527711774,1.5639900174992594,0.3940279962633901,0.210238943066996,2.0592820092702115e-08,1.2967258560346405e-08,83.71784184000316,100,100,45.74090363854459,78.04918032786884,38.327069172331065,27.043982407037184,0.3832706917233106,0.2704398240703718,9,38.327069172331065,27.043982407037184,44.16793282686925,0.8152738904438225,10.90563774490204,1.5025989604158336,100.0,100.0
ref,Traj_14056,14056,1,middle_stratified,rdf_min,0.342,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0003485992147272,0.0008612450620666,0.000225,1.5493298432320703,3.827755831407111,0.4047619313958501,0.1901438863492984,6.887896876719177e-08,7.707581448236031e-08,89.25948706544531,100,100,48.726909236305474,79.77888844462215,39.479808076769295,30.40503798480608,0.3947980807676929,0.3040503798480607,9,39.479808076769295,30.40503798480608,47.86765293882447,0.5873650539784087,8.564974010395842,0.8408636545381847,100.0,100.0
ref,Traj_14072,14072,1,middle_stratified,rdf_min,0.332,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.255529290047597e-05,2.624116752552869e-05,9.76e-05,0.2310993125048767,0.2688644213681218,0.8595384667444037,0.6362013464974483,1.3921148854805762e-09,2.5033641053815514e-09,78.18807340742752,100,100,12.035985605757697,171.90243902439025,85.85125949620152,84.5749700119952,0.8585125949620153,0.8457497001199521,6,85.85125949620152,84.5749700119952,11.60015993602559,0.0987604958016793,1.2774890043982408,0.4342263094762095,100.0,100.0
ref,Traj_14094,14094,1,middle_stratified,rdf_min,0.324,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.632732541301719e-05,5.378695287436774e-05,4.05e-05,0.4031438373584491,1.3280729104782156,0.3035555007392509,0.3945399746384735,5.5214890657670235e-09,4.641437332228937e-09,99.51868718178598,100,100,42.53178728508597,59.84406237504998,26.835265893642543,11.775289884046382,0.2683526589364254,0.1177528988404638,12,26.835265893642543,11.775289884046382,39.016793282686926,2.818072770891644,16.24470211915234,3.1263494602159136,100.0,100.0
