target_conductivity,repeat,generation_idx,num_samples,validity,uniqueness,novelty,run_csv
0,2,31,1024,0.806640625,0.986328125,0.8759765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen31.csv
0,2,32,1024,0.7939453125,0.9921875,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen32.csv
0,2,33,1024,0.7900390625,0.98828125,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen33.csv
0,2,34,1024,0.7890625,0.98828125,0.8896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen34.csv
0,2,35,1024,0.775390625,0.98828125,0.900390625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen35.csv
0,2,36,1024,0.810546875,0.9931640625,0.8896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen36.csv
0,2,37,1024,0.7919921875,0.9921875,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen37.csv
0,2,38,1024,0.783203125,0.994140625,0.8994140625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen38.csv
0,2,39,1024,0.7998046875,0.9833984375,0.880859375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen39.csv
0,2,40,1024,0.8154296875,0.9931640625,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen40.csv
0,2,41,1024,0.7919921875,0.98828125,0.8935546875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen41.csv
0,2,42,1024,0.810546875,0.9833984375,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen42.csv
0,2,43,1024,0.80859375,0.9921875,0.884765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen43.csv
0,2,44,1024,0.7958984375,0.9873046875,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen44.csv
0,2,45,1024,0.8056640625,0.9921875,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen45.csv
0,2,46,1024,0.8330078125,0.9912109375,0.89453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen46.csv
0,2,47,1024,0.7998046875,0.9873046875,0.8828125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen47.csv
0,2,48,1024,0.7900390625,0.9912109375,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen48.csv
0,2,49,1024,0.8115234375,0.9912109375,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen49.csv
0,2,50,1024,0.802734375,0.9873046875,0.8984375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat02_gen50.csv
0,3,1,1024,0.7958984375,0.98828125,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen01.csv
0,3,2,1024,0.8212890625,0.990234375,0.892578125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen02.csv
0,3,3,1024,0.8134765625,0.99609375,0.884765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen03.csv
0,3,4,1024,0.8125,0.9921875,0.8994140625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen04.csv
0,3,5,1024,0.7958984375,0.9892578125,0.888671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen05.csv
0,3,6,1024,0.798828125,0.9833984375,0.8857421875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen06.csv
0,3,7,1024,0.80859375,0.9921875,0.8876953125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen07.csv
0,3,8,1024,0.7763671875,0.9951171875,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen08.csv
0,3,9,1024,0.7998046875,0.9970703125,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen09.csv
0,3,10,1024,0.794921875,0.994140625,0.892578125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen10.csv
0,3,11,1024,0.8046875,0.9951171875,0.9091796875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen11.csv
