model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,2,627,-4.3566774962738135,-4.382810996758174,0.1860217155206775,0.1413628418530016,-4.385910076955279,-4.329365311508574
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3,627,-4.3053280623776375,-4.339643953227183,0.17019828945834795,0.13217507303819223,-4.329268706034357,-4.28187020863607
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,4,627,-4.257638600080453,-4.305242564966824,0.17031126446237602,0.13367264611684335,-4.281461288173147,-4.235451202532533
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,5,627,-4.211818739915935,-4.276362503916277,0.1777801549636776,0.1421152181197291,-4.235393662082367,-4.187411668264224
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,6,627,-4.163599476980815,-4.235197901868695,0.17164700190123475,0.13887630218852323,-4.187245058961123,-4.136241182991271
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,7,628,-4.103440587436244,-4.188065313336586,0.16390575286893713,0.14082918957277749,-4.1361861681547065,-4.070841948792209
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,8,626,-4.026544088627952,-4.109469294415765,0.15622449789963463,0.13581390706882515,-4.070830567666853,-3.9725542245197607
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,9,627,-3.8487458257914637,-3.926018402658339,0.2388423047793522,0.14530147117613448,-3.97227700832403,-2.9916584134504904
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,0,627,-4.526739063686303,-4.507404155845114,0.1998842961067682,0.15359716015331115,-4.861376584968493,-4.443583148148659
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,1,627,-4.404814920694476,-4.417891565877836,0.19687648372321595,0.14706344368872304,-4.4432454552169665,-4.373341856260973
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,2,627,-4.346860548978621,-4.379941700219608,0.17317371054889846,0.13149260768828974,-4.373260187699015,-4.321584574071903
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3,627,-4.297214666724236,-4.34408333877842,0.17403479324899404,0.13620498271416473,-4.321424667606913,-4.27569793377958
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,4,627,-4.253122617395112,-4.303297580384085,0.17069479786824035,0.1342512115840432,-4.275456816088777,-4.231080307796208
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,5,627,-4.208809601892762,-4.275121277788167,0.16808752054651938,0.1366513801590913,-4.231038538783614,-4.184761481243341
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,6,627,-4.16166082250827,-4.230470329830982,0.16033619559355392,0.13430468582606048,-4.184670684268681,-4.136517273299898
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,7,627,-4.107165059956108,-4.192254130626788,0.17925251060821518,0.15051542830575343,-4.136470742205951,-4.0735628305328015
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,8,627,-4.030273251920017,-4.11587648197022,0.15680114588575125,0.13299608523875814,-4.07346590886399,-3.977878530128934
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,9,627,-3.8548672048507555,-3.9175368552946024,0.23184029368892747,0.13611523398966843,-3.9777676312780783,-3.0329611286501246
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,0,627,-4.50458281065738,-4.509992419535844,0.2052732795493338,0.15333817953829165,-4.830095258627495,-4.423257206028227
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,1,627,-4.388852366989732,-4.418265310659516,0.1912520171486944,0.14543593037181424,-4.4232003096445345,-4.359717627599549
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,2,627,-4.333852379874926,-4.379840901879204,0.17084574155943005,0.1335653393951103,-4.359711217877131,-4.3102461581688
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,3,627,-4.288616466178775,-4.341312510437373,0.17180080873817816,0.13412267625586707,-4.310001861058513,-4.268654127802204
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,4,627,-4.248516857794727,-4.305200511990448,0.1681542040318392,0.1356007368882263,-4.268560900378075,-4.2287782934948766
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,5,627,-4.208618957423991,-4.270716470434054,0.1728310935690969,0.13823675324192655,-4.228390299033009,-4.187389141601797
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,6,627,-4.164832047876813,-4.232055895456927,0.15955195312780926,0.13305583519428843,-4.187333360939232,-4.1419164843495615
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,7,627,-4.115056634673089,-4.191614395948413,0.1797608813768664,0.14680323136101178,-4.141679991595385,-4.084160246110386
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,8,627,-4.043220277534197,-4.116544066028651,0.15595222821637858,0.12885268194385815,-4.084156311542651,-3.991598793913112
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,9,627,-3.8675103631258243,-3.918334934245392,0.23380442929731468,0.13271940792862444,-3.9915728402305968,-3.044892805798724
