model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,fold,n_val,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,3,1567,167,0.13630164301219636,0.17804508882799588,0.4404633507000998,0.6776004137442837,0.622669287602971,0.1113462517961894,0.2883328167522314,0.9033505571975313
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,0,1568,179,0.13834186112086613,0.1808851936808685,0.44149324244650123,0.6737743050075476,0.6370674223905645,0.1113884649565775,0.28307726142826434,0.9007097302429732
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,1,1568,164,0.1339352228274507,0.17412837041786774,0.4654582787763316,0.694074657454586,0.643999318194099,0.10959675027159888,0.26811284898605553,0.8539028821383479
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,2,1567,191,0.13476696288857,0.1761233442231055,0.498294529033696,0.7136205654756175,0.6649282284004503,0.10773651347237934,0.28556988569991143,0.8295544174564533
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,3,1567,167,0.13985767493904092,0.1811950221354208,0.42048982553578884,0.6656012627140497,0.615929305147742,0.11415861996333909,0.28120354328950853,0.8489738924887149
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,0,1568,179,0.13829830586901234,0.18083448529810106,0.44180633611867126,0.6739607654716149,0.6372627349352498,0.11133104744842282,0.2831077760201499,0.8998711036903528
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,1,1568,164,0.13389709420185208,0.17408903789071248,0.465699738592912,0.6942099804094896,0.6441288786087327,0.10933672033743891,0.2680549804221031,0.853863415215752
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,2,1567,191,0.1347420714533296,0.17609243045431183,0.4984706356804425,0.7137235006681542,0.665071826406086,0.10782669906020725,0.28536513919841866,0.8297198188850174
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,3,1567,167,0.13981853688540746,0.18115207267412123,0.42076452071963466,0.6657401364524732,0.6160937766968145,0.11417507663294035,0.28110868856919763,0.8491926264853316
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,1.0,0,1568,179,0.1378974734800487,0.18036330210446558,0.44471141056627894,0.6756965903489099,0.6391404089042891,0.11064643258111317,0.2813269448433728,0.8920718430876287
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,1.0,1,1568,164,0.13354688845782053,0.17372422320100864,0.4679367128696498,0.6954681615525283,0.645438186634592,0.10858986913457924,0.26797251984035886,0.8535428642805911
