model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.7594561983983605,-3.7734020068302323
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.333796857386624,-3.312471038785365
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.496072429255737,-3.5474530158360644
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.6287261536389854,-3.6991057637908638
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.756739784459211,-3.772113295386327
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.327470727627946,-3.312471038785365
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.483754240022265,-3.5421840201161103
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.628318101471228,-3.688246138944246
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,200,200,174,0.87,0.11180223285486443,7.781597717546362,-3.753922980412257,-3.7734020068302323
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3381894714844442,-3.312471038785365
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,50,50,49,0.98,0.11180223285486443,8.765477888730386,-3.4803324737727293,-3.5474530158360644
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.640182336063217,-3.714466010694877
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.761687624911383,-3.772113295386327
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3381894714844442,-3.312471038785365
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,50,50,49,0.98,0.11180223285486443,8.765477888730386,-3.4803324737727293,-3.5474530158360644
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.640182336063217,-3.714466010694877
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.761687624911383,-3.772113295386327
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3381894714844442,-3.312471038785365
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,50,50,49,0.98,0.11180223285486443,8.765477888730386,-3.4796659725045256,-3.5474530158360644
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.6386735913561896,-3.714466010694877
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,200,200,170,0.85,0.11180223285486443,7.602710413694722,-3.762354759145552,-3.772113295386327
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3337968573866226,-3.312471038785365
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.4919777004456325,-3.5474530158360644
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,100,100,97,0.97,0.11180223285486443,8.676034236804565,-3.6284503546573603,-3.6914473847488107
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.756715680971252,-3.772113295386327
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3595929671018805,-3.315154638355588
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.4749764598489166,-3.5421840201161103
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.6220645163652616,-3.688246138944246
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.752901666935973,-3.772113295386327
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.33319150766146,-3.312471038785365
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.5318655058014183,-3.5598962785205837
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6473193832200566,-3.718966632752272
