model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,tail_definition,n_tail,tail_mae_log10,tail_rmse_log10,tail_r2,tail_median_abs_error_log10,tail_p90_abs_error_log10
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,true_top_10pct,643,0.15300463582194135,0.19377351117980887,-0.3171076735491918,0.1280938999679182,0.3083675191760368
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,true_ge_1e-4,701,0.1520067709000596,0.19242796840359397,-0.32571327748134693,0.12744122276582548,0.30691082708727
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,true_top_5pct,317,0.16193042943882335,0.20866981150009956,-0.2398780227079227,0.13064017485958956,0.31193077226117594
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,true_top_10pct,643,0.15291892910800453,0.19363961427882914,-0.31528806772459084,0.12886223537877006,0.306102494100098
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,true_ge_1e-4,701,0.15192766049520112,0.19228387852384002,-0.3237286351257831,0.12822746139578367,0.3051902432558995
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,true_top_5pct,317,0.16145167047691322,0.20795090786450268,-0.23134955009927594,0.13322042202763296,0.3066116092848772
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,true_top_10pct,643,0.1525534037936268,0.19309482894474864,-0.3078976204514896,0.12706446645177394,0.30439809631108566
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,true_ge_1e-4,701,0.15156717186074736,0.19166161670370682,-0.31517489704439083,0.1270018580104999,0.3012708722106199
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,true_top_5pct,317,0.16221007415102248,0.20890434333182345,-0.24266667984112544,0.1380001875361585,0.31233251811297
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,true_top_10pct,643,0.15365485934483836,0.1944522402599844,-0.32635068005373213,0.13360616282056137,0.3051421217376492
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,true_ge_1e-4,701,0.15251448063823775,0.19269712304943015,-0.32942449928829487,0.1316462113158341,0.30106984137762627
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,true_top_5pct,317,0.15641530798707345,0.20252072487473458,-0.1678811825053419,0.12688207132644136,0.3013598638898089
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,true_top_10pct,643,0.14716453791815656,0.18751252068214527,-0.2333689372586334,0.12206451774998017,0.29812077938452336
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,true_ge_1e-4,701,0.14635797903725353,0.1864221129088461,-0.24425120031170922,0.12189735924292622,0.29683532953682246
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,true_top_5pct,317,0.15639607406349626,0.2025009850797975,-0.16765352569107428,0.12685108571075476,0.30108867857101124
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,true_top_10pct,643,0.14714880054391,0.18749432192642718,-0.23312954320967583,0.12160802628406753,0.29826491428851104
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,true_ge_1e-4,701,0.14634316341042417,0.18640292857954022,-0.24399512664984568,0.12156772333804922,0.29681655939829277
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,true_top_5pct,317,0.15621176427902714,0.2023214187312908,-0.165583626450162,0.12556532223237316,0.2985624625539122
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,true_top_10pct,643,0.14700288366343353,0.18732969716443074,-0.23096505594092998,0.12128296172959185,0.2975427837510955
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,true_ge_1e-4,701,0.14620507717620312,0.18622898134814148,-0.24167447058752933,0.12128186551682152,0.2964939130614539
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,true_top_5pct,317,0.15531374356412056,0.2013762007249635,-0.15471817215418038,0.1248679787782132,0.2950058277480518
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,true_top_10pct,643,0.14632304378402242,0.18653157637842926,-0.2204983128337159,0.12034789957312197,0.2951916560715632
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,true_ge_1e-4,701,0.14552579351255276,0.18536215359728514,-0.23014229178340573,0.1199207032988987,0.2928879847058985
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,true_top_5pct,317,0.15485713596138093,0.20123369191878088,-0.1530844211843927,0.13232143849026734,0.30160266903291205
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,true_top_10pct,643,0.14663305461722523,0.18689736994037004,-0.22528986807239915,0.12569443192321028,0.2926845435084795
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,true_ge_1e-4,701,0.1456376867312709,0.18540430980087877,-0.230701888495493,0.1241970949425184,0.29107497214486067
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,true_top_5pct,317,0.15708088169256126,0.20082067103527182,-0.14835599618019257,0.1280133745010681,0.3061950029139067
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,true_top_10pct,643,0.14412861012807698,0.18207922715031882,-0.16292917255781725,0.12269126364091854,0.28956017380659205
recall_focused_near_threshold__ridge_alpha_0p01,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.01,true_ge_1e-4,701,0.1425211720695364,0.18031355641433638,-0.16404555018672018,0.12165859233456722,0.28852664889074875
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,true_top_5pct,317,0.15706830247516843,0.200796930254246,-0.14808449766748932,0.12796287574461696,0.3060350907704861
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,true_top_10pct,643,0.14411082187281868,0.18205568475348077,-0.1626284642283693,0.12310830584096033,0.28941329366249846
recall_focused_near_threshold__ridge_alpha_0p1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,0.1,true_ge_1e-4,701,0.14250394466945318,0.18028908967719093,-0.16372967305783082,0.1217590221836824,0.28835114402274575
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,true_top_5pct,317,0.15695300434696774,0.2005803319312053,-0.14560897121863414,0.12861030221045944,0.3045106446077483
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,true_top_10pct,643,0.1439443108405807,0.18184029250881473,-0.15987905251030798,0.1232603395898133,0.2879012767442761
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,true_ge_1e-4,701,0.1423419581922298,0.1800647066567355,-0.16083478144510122,0.1221304355268158,0.28614615152216727
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,true_top_5pct,317,0.15618896102567031,0.19939993609985052,-0.13216505031214676,0.1296287974116992,0.29948658312311754
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,true_top_10pct,643,0.14297672957390636,0.18067784470462228,-0.14509696858504606,0.12353200769329442,0.282589603032547
