model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,1e-4,0.0001,-4.0,298,128,5441,403,0.6995305164319249,0.42510699001426533,0.5288376220053239,0.06794258373205742,0.11180223285486443,6.256856402322637
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,29,7,6177,57,0.8055555555555556,0.3372093023255814,0.4754098360655738,0.005741626794258373,0.013716108452950558,58.730620155038764
inverse_frequency_bins__ridge_alpha_100,inverse_frequency_bins,Scheme B: inverse_frequency_bins,q=5,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,15,2,6243,10,0.8823529411764706,0.6,0.7142857142857143,0.002711323763955343,0.003987240829346092,221.29411764705884
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5323,630,157,160,0.8941710062153536,0.9708188947656392,0.9309199020636586,0.9494417862838915,0.874481658692185,1.022515449383598
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2742,923,1798,807,0.7481582537517053,0.7726120033812341,0.7601885223177154,0.5845295055821371,0.5660287081339713,1.3217673291133254
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,1e-4,0.0001,-4.0,366,213,5356,335,0.6321243523316062,0.5221112696148359,0.5718749999999999,0.0923444976076555,0.11180223285486443,5.653951054378275
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,33,23,6161,53,0.5892857142857143,0.38372093023255816,0.46478873239436624,0.008931419457735247,0.013716108452950558,42.963039867109636
high_tail_step__ridge_alpha_0p01,high_tail_step,Scheme C: high_tail_step,,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5323,631,156,160,0.8940208263352368,0.9708188947656392,0.9308385066013815,0.9496012759170654,0.874481658692185,1.0223437135002618
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2741,924,1797,808,0.7478854024556617,0.7723302338686954,0.7599112836151927,0.5845295055821371,0.5660287081339713,1.3212852841355307
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,1e-4,0.0001,-4.0,366,213,5356,335,0.6321243523316062,0.5221112696148359,0.5718749999999999,0.0923444976076555,0.11180223285486443,5.653951054378275
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,33,23,6161,53,0.5892857142857143,0.38372093023255816,0.46478873239436624,0.008931419457735247,0.013716108452950558,42.963039867109636
high_tail_step__ridge_alpha_0p1,high_tail_step,Scheme C: high_tail_step,,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,3e-5,3e-05,-4.522878745280337,5324,631,156,159,0.8940386230058774,0.971001276673354,0.9309319811155797,0.9497607655502392,0.874481658692185,1.0223640646082166
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,5e-5,5e-05,-4.301029995663981,2744,922,1799,805,0.7484997272231315,0.7731755424063116,0.7606375606375606,0.584688995215311,0.5660287081339713,1.3223706085345264
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,1e-4,0.0001,-4.0,364,211,5358,337,0.6330434782608696,0.5192582025677603,0.5705329153605015,0.09170653907496013,0.11180223285486443,5.662172052347579
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,2e-4,0.0002,-3.6989700043360187,33,23,6161,53,0.5892857142857143,0.38372093023255816,0.46478873239436624,0.008931419457735247,0.013716108452950558,42.963039867109636
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,3e-5,3e-05,-4.522878745280337,5345,638,149,138,0.8933645328430553,0.9748312967353638,0.9323216466073608,0.9542264752791069,0.874481658692185,1.021593219209549
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,5e-5,5e-05,-4.301029995663981,2760,918,1803,789,0.7504078303425775,0.7776838546069316,0.7638024076380242,0.5866028708133971,0.5660287081339713,1.325741644476743
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,1e-4,0.0001,-4.0,360,197,5372,341,0.6463195691202872,0.5135520684736091,0.5723370429252782,0.08883572567783093,0.11180223285486443,5.780918257324109
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,2e-4,0.0002,-3.6989700043360187,37,20,6164,49,0.6491228070175439,0.43023255813953487,0.5174825174825174,0.00909090909090909,0.013716108452950558,47.32558139534884
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5398,660,127,85,0.891053152855728,0.9844975378442459,0.9354475348756607,0.9661881977671452,0.874481658692185,1.0189500763095778
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2791,936,1785,758,0.748859672658975,0.7864187094956325,0.7671797691039033,0.5944178628389155,0.5660287081339713,1.323006522280015
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,1e-4,0.0001,-4.0,365,188,5381,336,0.6600361663652803,0.5206847360912982,0.5821371610845296,0.08819776714513557,0.11180223285486443,5.903604512282892
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,35,15,6169,51,0.7,0.4069767441860465,0.5147058823529412,0.007974481658692184,0.013716108452950558,51.03488372093023
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,16,2,6243,9,0.8888888888888888,0.64,0.7441860465116279,0.0028708133971291866,0.003987240829346092,222.93333333333334
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5348,645,142,135,0.8923744368429835,0.9753784424585081,0.9320320669222727,0.9558213716108453,0.874481658692185,1.0204610102143912
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2806,1016,1705,743,0.7341705913134484,0.7906452521837137,0.7613620946954279,0.6095693779904306,0.5660287081339713,1.2970553980093888
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,1e-4,0.0001,-4.0,374,231,5338,327,0.6181818181818182,0.5335235378031383,0.5727411944869831,0.09649122807017543,0.11180223285486443,5.529243937232525
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,34,25,6159,52,0.576271186440678,0.3953488372093023,0.46896551724137925,0.009409888357256778,0.013716108452950558,42.01418998817501
aggressive_high_tail_step__ridge_alpha_0p01,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,17,3,6242,8,0.85,0.68,0.7555555555555556,0.003189792663476874,0.003987240829346092,213.18
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5347,644,143,136,0.8925054248038725,0.9751960605507933,0.9320202196269827,0.9555023923444976,0.874481658692185,1.0206107994747913
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2806,1016,1705,743,0.7341705913134484,0.7906452521837137,0.7613620946954279,0.6095693779904306,0.5660287081339713,1.2970553980093888
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,1e-4,0.0001,-4.0,374,231,5338,327,0.6181818181818182,0.5335235378031383,0.5727411944869831,0.09649122807017543,0.11180223285486443,5.529243937232525
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,2e-4,0.0002,-3.6989700043360187,34,25,6159,52,0.576271186440678,0.3953488372093023,0.46896551724137925,0.009409888357256778,0.013716108452950558,42.01418998817501
aggressive_high_tail_step__ridge_alpha_0p1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,17,3,6242,8,0.85,0.68,0.7555555555555556,0.003189792663476874,0.003987240829346092,213.18
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,3e-5,3e-05,-4.522878745280337,5351,646,141,132,0.8922794730698682,0.9759255881816524,0.9322299651567945,0.9564593301435407,0.874481658692185,1.0203524158577555
