model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,1,627,-4.41559491948514,-4.427179046381885,0.18888752402601916,0.1467279164410567,-4.44757150179005,-4.385727753471978
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,2,627,-4.361943530083509,-4.367252505247079,0.17293612551052454,0.13361310714872013,-4.385633488883851,-4.338161654046407
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,3,627,-4.317174905574573,-4.3449292413138,0.16559135567472347,0.1258908988928647,-4.33811607584897,-4.299182567450354
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,4,627,-4.2789754085161755,-4.308375997485043,0.17047896550755934,0.1303864282145292,-4.299077236558013,-4.259019210729056
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,5,627,-4.237470004325564,-4.27609290959784,0.17546755077228013,0.13484203754700513,-4.2589649052963905,-4.215524825258446
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,6,627,-4.192472583230277,-4.2281930646911405,0.15560309382447732,0.12214826928482964,-4.215398128830134,-4.169772668923042
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,7,627,-4.144118819078807,-4.185649123410347,0.16616066503968602,0.1295602754687997,-4.169612176342861,-4.114450694407392
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,8,627,-4.0697776694554015,-4.118671417507179,0.1591988141530843,0.1256008754878378,-4.114402289149219,-4.013573702532562
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,9,627,-3.8847626176600634,-3.913091440496471,0.22961813714704005,0.1284961647108271,-4.013554213337214,-3.0671713424567324
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,0,627,-4.544501871046723,-4.503994538873472,0.21170565149663353,0.16280328334951086,-5.1167938842051095,-4.460619527191871
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,1,627,-4.424579636014279,-4.418545808817577,0.19179299970937458,0.14919624802935827,-4.460329442659822,-4.392992173488147
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,2,627,-4.368013361727722,-4.376102566670692,0.1737824152492907,0.13403001231192174,-4.39291661719057,-4.344898131102596
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,3,627,-4.323510056349632,-4.344208068322224,0.17709082364000098,0.13526646905605091,-4.3446198866842956,-4.303262506425298
