model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,3e-4,0.0003,-3.5228787452803374,18,4,6241,7,0.8181818181818182,0.72,0.7659574468085107,0.0035087719298245615,0.003987240829346092,205.20000000000002
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,3e-5,3e-05,-4.522878745280337,5283,618,169,200,0.8952719877986782,0.963523618457049,0.9281447645818693,0.9411483253588516,0.874481658692185,1.0237744598755631
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,5e-5,5e-05,-4.301029995663981,2881,1098,1623,668,0.7240512691631064,0.8117779656241195,0.7654091392136025,0.6346092503987241,0.5660287081339713,1.279177643745471
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,1e-4,0.0001,-4.0,433,350,5219,268,0.5530012771392082,0.6176890156918687,0.5835579514824798,0.12488038277511962,0.11180223285486443,4.94624537469734
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,2e-4,0.0002,-3.6989700043360187,39,25,6159,47,0.609375,0.45348837209302323,0.52,0.010207336523125997,0.013716108452950558,44.42768895348837
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,3e-4,0.0003,-3.5228787452803374,16,4,6241,9,0.8,0.64,0.7111111111111111,0.003189792663476874,0.003987240829346092,200.64000000000001
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3e-5,3e-05,-4.522878745280337,5317,629,158,166,0.8942145980491086,0.9697246033193507,0.9304401084959313,0.9483253588516747,0.874481658692185,1.0225652981520903
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,5e-5,5e-05,-4.301029995663981,2904,1113,1608,645,0.7229275578790142,0.8182586644125106,0.7676447264076129,0.6406698564593302,0.5660287081339713,1.27719238881415
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,1e-4,0.0001,-4.0,437,340,5229,264,0.5624195624195624,0.62339514978602,0.591339648173207,0.12392344497607656,0.11180223285486443,5.030485957732748
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,2e-4,0.0002,-3.6989700043360187,38,24,6160,48,0.6129032258064516,0.4418604651162791,0.5135135135135135,0.009888357256778309,0.013716108452950558,44.68492123030758
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,3e-4,0.0003,-3.5228787452803374,16,4,6241,9,0.8,0.64,0.7111111111111111,0.003189792663476874,0.003987240829346092,200.64000000000001
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5371,651,136,112,0.8918963799402192,0.9795732263359475,0.9336810082572794,0.9604465709728868,0.874481658692185,1.0199143356237779
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2965,1157,1564,584,0.7193110140708394,0.8354466046773739,0.7730413244687785,0.6574162679425838,0.5660287081339713,1.2708030595165294
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,1e-4,0.0001,-4.0,438,306,5263,263,0.5887096774193549,0.6248216833095578,0.6062283737024222,0.11866028708133972,0.11180223285486443,5.265634347245871
