model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10,precision_at_1e4,recall_at_1e4,f1_at_1e4,threshold_enrichment_at_1e4,top100_true_ge_1e4_hit_rate,top100_enrichment,top100_mean_true_log10_cond,top100_median_true_log10_cond,tail_mae_true_ge_1e4,tail_rmse_true_ge_1e4,baseline_model_id,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_spearman_vs_baseline,delta_recall_at_1e4_vs_baseline,delta_top100_enrichment_vs_baseline,passes_screening_constraints,score_recall_at_1e4,score_top100_enrichment,score_spearman,score_tail_mae_inverse,score_global_mae_inverse,cej_screening_score,pareto_candidate,recommended_role
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,10.0,6270,701,0.1353684390845131,0.17740944238566497,0.4615532189879499,0.6947255967133084,0.6481242633743441,0.10891118451895476,0.2803771987667959,0.9070048407646594,0.6384479717813051,0.5164051355206848,0.5709779179810726,5.710511816075297,0.96,8.586590584878744,-3.6188428011326232,-3.688246138944246,0.14570657550480395,0.18171644031004344,baseline_unweighted__ridge_alpha_1,-0.0006844261050972245,0.0008568729462671287,0.005715308699368538,0.0613409415121256,0.1788873038516403,True,0.4740740740740744,0.7499999999999976,0.582675160080155,0.5912255367233268,0.7027578667301481,0.6166510610525703,False,not recommended
smooth_sigmoid_tail_a2_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.05,Ridge,10.0,6270,701,0.1363008944387188,0.17751399269046517,0.4609184008854287,0.693410655813014,0.649745222825548,0.11031001281705466,0.2791231401645347,0.8714188123165219,0.6131621187800963,0.5449358059914408,0.5770392749244713,5.484345912626539,0.95,8.497146932952925,-3.627676670274809,-3.6991057637908638,0.1450095824507658,0.18335240322034005,baseline_unweighted__ridge_alpha_1,0.0002480292491084668,0.0009614232510673226,0.0073362681505724225,0.08987161198288157,0.08944365192582104,True,0.6222222222222221,0.5,0.6441932868469994,0.6058642306428805,0.6324875860382387,0.5951469854271234,False,not recommended
smooth_sigmoid_tail_a1_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.2,Ridge,100.0,6270,701,0.13142416825004485,0.17195145257810507,0.4941741487395994,0.7056354401825349,0.6587847839224535,0.1039107070472034,0.27287271146415826,0.9098121016029399,0.6829268292682927,0.4793152639087018,0.5632858340318525,6.108346960787726,0.95,8.497146932952925,-3.6227566933057016,-3.688246138944246,0.1605418209639742,0.19572171656437828,baseline_unweighted__ridge_alpha_1,-0.004628696939565469,-0.0046011168612927755,0.016375829247477935,0.02425106990014264,0.08944365192582104,True,0.2814814814814814,0.5,0.9872597744528775,0.2796462229266661,1.0,0.5847692586999458,True,not recommended
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,6270,701,0.13832803777364777,0.18198710673234558,0.4334078354473816,0.6908335510886263,0.6428772675643062,0.11058608209594323,0.28578596609727636,0.9441514211713784,0.6311336717428088,0.5320970042796006,0.5773993808049536,5.645090045402869,0.96,8.586590584878744,-3.625585589025608,-3.6914473847488107,0.1395219452392565,0.17474916571384844,baseline_unweighted__ridge_alpha_1,0.0022751725840374493,0.005434537292947739,0.0004683128893305799,0.07703281027104142,0.1788873038516403,True,0.5555555555555558,0.7499999999999976,0.3835428787962004,0.7211190972666189,0.47972109646240635,0.5832234937074823,False,not recommended
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,1.0,6270,701,0.14176562493909137,0.1854132983878398,0.4118730471290658,0.6791190254111972,0.6361968632953063,0.11355169117003117,0.29353373895597945,0.9064099261680489,0.5768688293370945,0.5834522111269614,0.5801418439716312,5.159725477808249,0.96,8.586590584878744,-3.627207640894922,-3.709965388637482,0.13518120264589362,0.17354348089648755,baseline_unweighted__ridge_alpha_1,0.0057127597494810445,0.008860728948441948,-0.006212091379669271,0.12838801711840225,0.1788873038516403,True,0.8222222222222221,0.7499999999999976,0.13001034510519566,0.8122861495631432,0.2206628864053697,0.5739999799718709,False,not recommended
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,10.0,6270,701,0.1355443598517369,0.17682549426545685,0.4650920105210804,0.6944411445911346,0.6496244721006137,0.1094359890463843,0.27860858940496186,0.8725673243113388,0.6252129471890971,0.5235378031383737,0.5698757763975155,5.5921329227897845,0.95,8.497146932952925,-3.6254410169664983,-3.6991057637908638,0.14705839263842735,0.18430629152053374,baseline_unweighted__ridge_alpha_1,-0.0005085053378734161,0.0002729248260590067,0.007215517425638085,0.06847360912981454,0.08944365192582104,True,0.5111111111111111,0.5,0.6396105945420303,0.562833808657069,0.6895003937191387,0.568550027042615,False,not recommended
recall_focused_near_threshold__ridge_alpha_1,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,1.0,6270,701,0.14012385896219545,0.18382568840181496,0.421901656050104,0.682381392893349,0.6344554689514464,0.11245851561790676,0.29035103466871887,0.9199366204218622,0.615257048092869,0.5292439372325249,0.5690184049079754,5.503083725452623,0.97,8.676034236804565,-3.6164197527675275,-3.6914473847488107,0.14082231927404493,0.17742294562650623,baseline_unweighted__ridge_alpha_1,0.00407099377258513,0.007273118962417113,-0.007953485723529163,0.07417974322396576,0.26833095577746136,True,0.5407407407407407,1.0,0.06392151239745865,0.6938078100652387,0.34438715428217115,0.5536987323167883,True,not recommended
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,6270,701,0.13466773512408042,0.17572285040165833,0.47174234162114226,0.6955816357847671,0.6491508194915462,0.10853124807800096,0.2782857728491531,0.8598507654908163,0.6463195691202872,0.5135520684736091,0.5723370429252782,5.780918257324109,0.95,8.497146932952925,-3.6273702313311302,-3.6991057637908638,0.15030573276503334,0.1875726302095808,baseline_unweighted__ridge_alpha_1,-0.0013851300655298993,-0.0008297190377395125,0.006741864816570575,0.05848787446504994,0.08944365192582104,True,0.4592592592592593,0.5,0.621634684517618,0.4946310943105518,0.7555632517380774,0.5516709036256328,False,not recommended
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,10.0,6270,701,0.1349799106451295,0.17562690520234595,0.4723190446447564,0.6954264364893916,0.6506726982067709,0.10993147541412807,0.27705136418184845,0.8597009596236562,0.644927536231884,0.5078459343794579,0.5682362330407023,5.768467406810147,0.95,8.497146932952925,-3.6237879388527774,-3.688246138944246,0.1535666789493877,0.19158594565643003,baseline_unweighted__ridge_alpha_1,-0.0010729545444808086,-0.0009256642370518986,0.008263743531795265,0.05278174037089872,0.08944365192582104,True,0.42962962962962964,0.5,0.6793925313640774,0.4261426168367321,0.7320375554242315,0.5420129395193675,False,not recommended
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,1.0,6270,701,0.1382148346789573,0.1810277326105412,0.43936585194403177,0.6854444149301362,0.6387359086227433,0.11088352069494478,0.28701956468057827,0.9267921277838109,0.62,0.5306704707560628,0.5718677940046117,5.545506419400856,0.96,8.586590584878744,-3.6271114780145464,-3.709965388637482,0.14340639954335083,0.18025354235875707,baseline_unweighted__ridge_alpha_1,0.0021619694893469654,0.004475163171143354,-0.003673046052232287,0.07560627674750359,0.1788873038516403,True,0.5481481481481483,0.7499999999999976,0.22637136894451798,0.6395353034645388,0.48825213572687537,0.5389794267046522,False,not recommended
