model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,10.0,6270,701,0.13643764234630756,0.17860039721097182,0.45429973572952065,0.6880614415742506,0.6469984441300086,0.10948619644401214,0.28248128595082805,0.8659357451859799
smooth_sigmoid_tail_a2_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.1,Ridge,100.0,6270,701,0.13370910672925804,0.17606828597418675,0.4696634048792001,0.6958261681088983,0.6534024979322697,0.10768089078586263,0.27473618040959896,1.0270824766830682
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,6270,701,0.1375812815444627,0.1796774609432418,0.44769811310407526,0.6815245679567616,0.638656235606557,0.11112815022283007,0.28376215442131747,0.9048490623848293
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,6270,701,0.13754873722073624,0.179641613049835,0.4479184733429866,0.6816416481739346,0.638779018393223,0.11113275777460285,0.28350474370218426,0.9043226724340325
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,1.0,6270,701,0.13724244367601135,0.17930935022447067,0.44995883052052965,0.6827290799757839,0.6399733017317115,0.11057711737926601,0.28341538574946956,0.8995433201469765
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,10.0,6270,701,0.13541838886928717,0.17740988577609956,0.4615505275590456,0.6890314062679652,0.64664935876413,0.1096622083004486,0.27771971386010136,0.8770748092155336
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,6270,701,0.13299648409050757,0.17516683128860622,0.4750800596249797,0.6966843231284351,0.6533810224813051,0.1065550531456938,0.27184604606756646,1.0249830895152172
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.01,6270,701,0.14212701519051477,0.18542867744354732,0.4117754790219157,0.6756867931705534,0.6374661212541604,0.11394170720990204,0.2920517095480933,0.9242865065241306
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.1,6270,701,0.14208622601128448,0.18538351152303686,0.41206199852579917,0.6758205461804965,0.6375988941505303,0.11386597605967941,0.2921932930445311,0.9240560510927471
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,6270,701,0.14171330929573683,0.18496827258074458,0.4146928833783764,0.6770535355381447,0.6389109151379879,0.11344737077358502,0.29088418548794165,0.9214191833923522
