Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,PSMILES,log10_cond,fold
27054,CC(C)C(CSC(C)C(C)O*)OC(=O)*,1.5,479.0,19.0,1.25,5.13e-05,3.73e-08,3.04e-08,1.68e-08,-0.149,CC(C)C(CSC(C)C(C)O[*])OC(=O)[*],-4.289882634888183,3
27055,CC(CN*)NC(=O)C(C)CNC(=O)*,1.43,446.0,17.0,1.33,3.63e-05,9.89e-09,6.24e-09,4.81e-09,0.225,CC(CN[*])NC(=O)C(C)CNC(=O)[*],-4.440093374963888,2
27056,CC(C)(CCO*)C(C)(C)OC(=O)*,1.45,433.0,22.0,1.22,2.65e-05,2.28e-08,1.06e-08,1.26e-08,-0.35,CC(C)(CCO[*])C(C)(C)OC(=O)[*],-4.576754126063192,2
27057,CC(CCCC(C)(C)O*)CCOC(=O)*,1.41,461.0,16.0,1.16,3.63e-05,3.57e-08,2.26e-08,3.03e-08,-0.234,CC(CCCC(C)(C)O[*])CCOC(=O)[*],-4.440093374963888,1
27058,CC(CCO*)SC(C)C(C)OC(=O)*,1.43,465.0,17.0,1.27,4.16e-05,3.65e-08,2.08e-08,2.94e-08,0.0289,CC(CCO[*])SC(C)C(C)OC(=O)[*],-4.380906669373258,2
27059,CC(CN*)CNC(=O)C(C)(C)CNC(=O)*,1.45,474.0,16.0,1.28,3.06e-05,1e-08,5.51e-09,6.57e-09,0.174,CC(CN[*])CNC(=O)C(C)(C)CNC(=O)[*],-4.51427857351842,1
27060,CCN(CCO*)C(=O)C(OC(=O)*)C(C)C,1.35,476.0,19.0,1.28,3.22e-05,2.06e-08,1.28e-08,1.2e-08,-0.39,CCN(CCO[*])C(=O)C(OC(=O)[*])C(C)C,-4.492144128304169,3
27061,CSCCC(CN*)OC(=O)*,1.42,422.0,31.0,1.36,4.7e-05,2.41e-08,1.51e-08,1.66e-08,-0.113,CSCCC(CN[*])OC(=O)[*],-4.327902142064283,1
27062,CC(C)(C)C(C#CC(OC(=O)*)C(C)(C)C)O*,1.44,485.0,22.0,1.11,1.01e-05,1.34e-08,6.37e-09,7.13e-09,-0.638,CC(C)(C)C(C#CC(OC(=O)[*])C(C)(C)C)O[*],-4.995678626217358,2
27063,C[Si](C)(CCCO*)CCCOC(=O)*,1.39,463.0,16.0,1.19,7.6e-05,5.37e-08,3.64e-08,5.83e-08,0.165,C[Si](C)(CCCO[*])CCCOC(=O)[*],-4.119186407719209,2
27064,CC(O*)C(C)SCCCCCOC(=O)*,1.47,479.0,14.0,1.25,5.69e-05,4.45e-08,3.05e-08,4.47e-08,-0.197,CC(O[*])C(C)SCCCCCOC(=O)[*],-4.244887733604929,2
27065,CC(CN*)NC(=O)CCC(C)(C)NC(=O)*,1.45,474.0,16.0,1.28,4.88e-05,1.47e-08,8.31e-09,6.9e-09,0.121,CC(CN[*])NC(=O)CCC(C)(C)NC(=O)[*],-4.311580177997289,0
27066,O=C(*)OCCC(F)(F)CCO*,1.43,427.0,19.0,1.48,5.42e-05,2.02e-08,1.79e-08,2.13e-08,0.304,O=C([*])OCCC(F)(F)CCO[*],-4.266000713461613,3
27067,CC(C)(CCN*)CCNC(=O)*,1.39,417.0,19.0,1.2,4.22e-05,1.99e-08,1.46e-08,9.04e-09,0.236,CC(C)(CCN[*])CCNC(=O)[*],-4.374687549038326,3
27068,CCCC(CSCC(C)CO*)OC(=O)*,1.48,479.0,17.0,1.25,5.37e-05,5.31e-08,2.47e-08,3.55e-08,-0.125,CCCC(CSCC(C)CO[*])OC(=O)[*],-4.270025714300444,0
27069,CCCC(CSC(C)CCOC(=O)*)O*,1.48,479.0,17.0,1.25,5.22e-05,5.78e-08,3.1e-08,4.54e-08,-0.593,CCCC(CSC(C)CCOC(=O)[*])O[*],-4.282329496997738,2
27070,CC(C)C(CCC(OC(=O)*)C(C)C)O*,1.41,461.0,22.0,1.14,3.47e-05,5.25e-08,2.26e-08,2.27e-08,0.131,CC(C)C(CCC(OC(=O)[*])C(C)C)O[*],-4.459670525209126,1
27071,CCCC(CC)SCC(CO*)OC(=O)*,1.47,479.0,31.0,1.25,2.32e-05,4.02e-08,3.93e-08,2.3e-08,-0.0948,CCCC(CC)SCC(CO[*])OC(=O)[*],-4.634512015109101,3
27072,CCCC(CC)NC(CC)(COC(=O)*)N*,1.5,475.0,31.0,1.17,3.8e-05,3.6e-08,3.03e-08,1.13e-08,0.00355,CCCC(CC)NC(CC)(COC(=O)[*])N[*],-4.42021640338319,2
27073,CC(C)C(C(CN*)COC(=O)*)N(C)C,1.36,461.0,26.0,1.17,1.51e-05,1.52e-08,6.14e-09,5.9e-09,-0.435,CC(C)C(C(CN[*])COC(=O)[*])N(C)C,-4.82102305270683,1
27074,CC(C)(CO*)CSCCCOC(=O)*,1.38,465.0,16.0,1.27,7.66e-05,4.7e-08,3.69e-08,3.25e-08,0.133,CC(C)(CO[*])CSCCCOC(=O)[*],-4.115771230367396,1
27075,CC(CCCSC(C)CO*)OC(=O)*,1.38,465.0,16.0,1.26,7.35e-05,6.21e-08,3.6e-08,5.4e-08,-0.0291,CC(CCCSC(C)CO[*])OC(=O)[*],-4.133712660915805,2
27076,CCC(COC(=O)*)C(=O)N(C)CC(C)O*,1.36,476.0,17.0,1.27,3.5e-05,1.83e-08,1.64e-08,1.39e-08,0.19,CCC(COC(=O)[*])C(=O)N(C)CC(C)O[*],-4.455931955649724,3
27077,CC(C)CC(CC(C)(C)OC(=O)*)O*,1.47,447.0,26.0,1.17,9.7e-06,2.74e-08,1.39e-08,1.86e-08,-0.0998,CC(C)CC(CC(C)(C)OC(=O)[*])O[*],-5.013228265733755,2
27078,CC(C)CC(N*)C(CC(=O)O)OC(=O)*,1.33,462.0,31.0,1.31,1.53e-05,1.58e-08,7.51e-09,7.06e-09,-0.12,CC(C)CC(N[*])C(CC(=O)O)OC(=O)[*],-4.815308569182402,0
27079,CC(CC(C)(C)NC(=O)C(C)O*)OC(=O)*,1.36,476.0,17.0,1.27,5.72e-05,2.84e-08,1.25e-08,1.2e-08,-0.017,CC(CC(C)(C)NC(=O)C(C)O[*])OC(=O)[*],-4.242603971206976,0
27080,CCCCC(CC)(CO*)COC(=O)*,1.47,447.0,26.0,1.18,2.22e-05,2.64e-08,1.94e-08,1.51e-08,-0.119,CCCCC(CC)(CO[*])COC(=O)[*],-4.653647025549361,0
27081,CC(CCCSC(C)C(C)OC(=O)*)O*,1.42,479.0,16.0,1.23,6.67e-05,5.93e-08,3.64e-08,3.97e-08,-0.084,CC(CCCSC(C)C(C)OC(=O)[*])O[*],-4.175874166083451,1
27082,CCC(OC(=O)*)C(C)N*,1.38,390.0,31.0,1.23,2.81e-05,2.01e-08,1.3e-08,9.42e-09,0.164,CCC(OC(=O)[*])C(C)N[*],-4.55129368009492,2
27083,CCC(CC)(O*)C(C)(C)NC(=O)*,1.34,432.0,31.0,1.2,4.73e-05,2.19e-08,2.16e-08,7.77e-09,-0.136,CCC(CC)(O[*])C(C)(C)NC(=O)[*],-4.325138859262188,3
27084,CCC(=O)N(CC(C)O*)C(C)COC(=O)*,1.35,476.0,19.0,1.28,5.04e-05,3.15e-08,2.59e-08,1.66e-08,-0.497,CCC(=O)N(CC(C)O[*])C(C)COC(=O)[*],-4.297569463554475,2
27085,CCC(C)C(CN*)NC(=O)*,1.41,403.0,31.0,1.24,4.36e-05,1.97e-08,1.14e-08,8.39e-09,0.166,CCC(C)C(CN[*])NC(=O)[*],-4.360513510731414,3
27086,CC(C)=CCSCC(COC(=O)*)O*,1.32,463.0,31.0,1.29,2.47e-05,4.14e-08,2.43e-08,2.62e-08,-0.566,CC(C)=CCSCC(COC(=O)[*])O[*],-4.607303046740334,3
27087,CCC(O*)C(C)(C)NC(=O)*,1.4,404.0,31.0,1.22,2.07e-05,1.26e-08,1.58e-08,7.12e-09,0.116,CCC(O[*])C(C)(C)NC(=O)[*],-4.684029654543083,1
27088,CC(CO*)CSCCCC(C)OC(=O)*,1.47,479.0,14.0,1.25,0.000112,5.96e-08,4.56e-08,4.95e-08,-0.0559,CC(CO[*])CSCCCC(C)OC(=O)[*],-3.9507819773298185,0
27089,CC(CCOC(=O)*)SCCC(C)(C)O*,1.42,479.0,16.0,1.26,2.54e-05,2.42e-08,1.49e-08,1.95e-08,-0.392,CC(CCOC(=O)[*])SCCC(C)(C)O[*],-4.5951662833800615,3
27090,CC(C)(CSCCC(C)(C)OC(=O)*)O*,1.48,479.0,17.0,1.26,4.34e-05,3.08e-08,2.47e-08,2.12e-08,-0.577,CC(C)(CSCCC(C)(C)OC(=O)[*])O[*],-4.36251027048749,0
