model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,8,627,-4.031114117213638,-4.1153503481020195,0.16266985071724674,0.13727467965226378,-4.075839261383543,-3.9780641486838064
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,9,627,-3.855107744745398,-3.9182670627229017,0.2336993295285411,0.13660756165535098,-3.977999330858446,-3.041104118224034
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,0,627,-4.50408231506209,-4.5090634225209225,0.2045837501900602,0.14638580324216832,-4.7795224644340255,-4.424066533260881
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,1,627,-4.3897229297857745,-4.428560223304692,0.19250385238475964,0.150849028871367,-4.423946312164038,-4.359009829898563
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,2,627,-4.3341790631504225,-4.369758431787552,0.17161727497117443,0.13442186263340794,-4.358983645048582,-4.307896929958425
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,3,627,-4.288193440948127,-4.335675189062226,0.16232062784248838,0.12505809769955684,-4.307881842975035,-4.2691250754631795
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,4,627,-4.248999024321995,-4.310112795092461,0.166560767503585,0.13494562053171824,-4.269123800006185,-4.228127431942425
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,5,627,-4.207067248654591,-4.277561562021739,0.1848843297649903,0.1474355938059174,-4.228034017191463,-4.184783890986745
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,6,627,-4.163528957053715,-4.229595171762252,0.16050731346667846,0.1308166219301493,-4.184758211501442,-4.141444498289996
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,7,627,-4.116080335770324,-4.1907155384628725,0.16650049248703855,0.13674945399219274,-4.141425561287237,-4.086569456258329
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,8,627,-4.044105393812003,-4.117885614844739,0.16301050728764835,0.13545548537638785,-4.086523268975079,-3.9925718006285433
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,9,627,-3.8676661544131843,-3.9149494677563674,0.2303261958807772,0.12973169202025245,-3.9922954867079645,-3.045749389200302
