model_id,bin_left,bin_right,count
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.6499999999999999,-0.625,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.625,-0.6,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.6,-0.575,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.575,-0.55,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.55,-0.5249999999999999,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.5249999999999999,-0.5,2
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.5,-0.475,2
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.475,-0.44999999999999996,8
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.44999999999999996,-0.42499999999999993,2
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.42499999999999993,-0.3999999999999999,5
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.3999999999999999,-0.375,21
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.375,-0.35,12
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.35,-0.32499999999999996,18
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.32499999999999996,-0.29999999999999993,24
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.29999999999999993,-0.2749999999999999,48
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.2749999999999999,-0.25,67
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.25,-0.22499999999999998,76
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.22499999999999998,-0.19999999999999996,107
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.19999999999999996,-0.17499999999999993,143
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.17499999999999993,-0.1499999999999999,195
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.1499999999999999,-0.125,225
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.125,-0.09999999999999998,268
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.09999999999999998,-0.07499999999999996,299
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.07499999999999996,-0.04999999999999993,339
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.04999999999999993,-0.02499999999999991,404
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,-0.02499999999999991,0.0,378
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.0,0.025000000000000133,415
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.025000000000000133,0.050000000000000044,381
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.050000000000000044,0.07499999999999996,359
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.07499999999999996,0.10000000000000009,364
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.10000000000000009,0.125,337
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.125,0.15000000000000013,296
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.15000000000000013,0.17500000000000004,268
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.17500000000000004,0.20000000000000018,223
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.20000000000000018,0.2250000000000001,186
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.2250000000000001,0.25,152
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.25,0.27500000000000013,127
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.27500000000000013,0.30000000000000004,96
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.30000000000000004,0.3250000000000002,78
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.3250000000000002,0.3500000000000001,57
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.3500000000000001,0.375,64
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.375,0.40000000000000013,39
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.40000000000000013,0.42500000000000004,30
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.42500000000000004,0.4500000000000002,29
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.4500000000000002,0.4750000000000001,21
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.4750000000000001,0.5,18
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.5,0.5250000000000001,13
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.5250000000000001,0.55,9
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.55,0.5750000000000002,11
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.5750000000000002,0.6000000000000001,17
