row_id,canonical_structure,canonical_group_id,conductivity_S_cm,log10_conductivity_S_cm,stratification_bin,fold,source_file
28519,[*]CNC(=O)OC([*])C(=O)N(C)CC(C)(C)C#N,sha256:7a8624018c934f1f407594c03437b9a1cd55480092458e3560c7f0f4356e9c45,6.69e-05,-4.174573882232177,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28520,[*]CCCOC(=O)OC([*])C,sha256:f497b441e0fa024f79c60d852133cc94fa090a41a9d825101ea251ab50f5f823,6.87e-05,-4.16304326294045,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28521,[*]COC(=O)OC([*])CNC(CC)(CC)CC,sha256:e2b4d8434aaa2fd35fb62567f046843424e7602bdb910f38192d92accdae1634,2.82e-05,-4.549750891680639,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28522,[*]CNCC(C)OC(=O)OC([*])COCC,sha256:5c12f8372d07c27372ffc59f09c4f32dcb791b1e1683259afbf91d23e029d83e,9.88e-05,-4.005243055412372,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28523,[*]CNCC(C)(C)OC(=O)OC([*])COCC,sha256:ec3b20228cfb153577c7ec5e5ecd942c5c0c676baece27c2acfb4d18ff103045,7.17e-05,-4.1444808443322,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28524,[*]CNCCOC(=O)OC([*])CCCC,sha256:1124252854f534307e103eeab14b36149e61e4707acd4e3d79d6103cc0e55827,9.05e-05,-4.043351420794797,5,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28525,[*]CN(C)CCOC(=O)NC([*])CC,sha256:2dfe53bd33590a760faa090b29794d6dd0b19fd7cca10d98af55f282339ea13d,7.18e-05,-4.1438755557577,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28526,[*]CCN(C)CCCOC(=O)OC([*])C,sha256:1a0fa916939a3fdfd1a5dea43ad34bbb8d7921cd4c9096aeac83a871af99a476,8.65e-05,-4.062983892535186,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28527,[*]COC(=O)OCCCSCC([*])C,sha256:44043f4bd768e507e8d35f113c48fdde16d89fa54c59fbb6910a617895463e2f,8.58e-05,-4.066512712151295,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28528,[*]CNC(=O)OC([*])CN(C)C(C)COC,sha256:292037c28bd05a07ca821dc07eeb90c03500d1d4583b84d55136ba2062e38a58,8.11e-05,-4.090979145788844,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28529,[*]COC(=O)OCC([*])NC(CC)CCCC,sha256:30a463ac1993eddecf73bb9232520824ecda706751767cb78f897f2c3250f14e,4.45e-05,-4.351639989019068,2,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28530,[*]COC(=O)OCC([*])(C)C(=O)OCCC,sha256:1084fc0e7e6a180fe9810a8cfbcde38bb517beff2cb24f20631a4d62b60f0092,1.69e-05,-4.772113295386326,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28531,[*]COC(=O)OCC([*])NCCCC,sha256:7045eb7b7d7a91c90ce7b13a21e3d551ef39d444142b4da31e1d158936377e18,7.43e-05,-4.129011186239425,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28532,[*]COC(=O)OC(CNC([*])CC#C)COC,sha256:232269019d6bb7fdc74f341510b78a5d7f06910325ce9b9e56117eaf756edd1e,8.73e-05,-4.058985756294431,4,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28533,[*]CN(C)CCOC(=O)OC([*])COCC,sha256:8d3bdac94b79b3b41c644b205bbeb2e5fe9da5f07b28273b19a2ffb3707863ea,0.000127,-3.896196279044043,5,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28534,[*]CNC(=O)NC([*])C(=O)NC(C)=CC(C)=O,sha256:9d2c730bd0217f69211514f058e4bf2a7405481b94ee4e70a88ec3dc0b32f67c,2.97e-05,-4.527243550682788,0,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28535,[*]CCCOC(=O)OC(C)(C)CN([*])CC,sha256:8dbded01393b8dad9bd0e4b927978944ab7909bef3dd50a6879d2ecf0541f429,6.63e-05,-4.178486471595227,3,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28536,[*]CNC(=O)NCCNC(=O)C([*])C(C)C,sha256:fcf0010ea2f573f3f89d40dd010c710ed3cef53794fc0229f11b12b6bd37e4db,6.52e-05,-4.185752404268079,3,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28537,[*]COC(=O)OC([*])CNCC(C)C,sha256:0906cd30576765ed6d8a8798da21f86d24742c88ce0417e2573c592214d8b618,5.47e-05,-4.262012673666569,3,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28538,[*]CCCOC(=O)OCCN([*])CCC(=O)O,sha256:864ed412ddcc7267613acce32384eb305f0462b92cfe83585db3dc4f9e795850,5.45e-05,-4.263603497723357,3,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28539,[*]COC(=O)OC([*])CNC(C)CC(C)CC,sha256:ffa2b859bde85562bf659d49e6844bc93a295d182dd63bd938f3dbef4c52a1fd,3.53e-05,-4.452225294612178,1,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28540,[*]COC(=O)OC([*])CNCCC,sha256:066465be544cff19207309e42744838c5efe4339f57d0f2e22a778a6dc9f46e8,3.52e-05,-4.453457336521869,1,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28541,[*]CN(CC)CCOC(=O)OC([*])COCC,sha256:22374f9ff712aabf432750e57c02e3e15058648d516c5cfe3fef7dab3433d7f6,9.97e-05,-4.001304841688344,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28542,[*]COC(=O)NC([*])C(C)(C)C,sha256:bd00e7f3b4314a0002351b7a480a6f836f228c69a62b51bf76328ef7810dea41,3.3e-05,-4.481486060122113,0,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28543,[*]CNCCCCOC(=O)OC([*])(C)C,sha256:74ea774b0bc33cc577e52bcfe481c527a3a206f85962bab5a172138830d7266a,5.39e-05,-4.268411234813262,2,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28544,[*]CNCC(CC)(CC)OC(=O)OC([*])CC,sha256:f9a2da7988a217640ca02624feedbe18fcee9af70ed7833ab1860e734f13c65e,2.79e-05,-4.554395796726403,0,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28545,[*]CCOC(=O)OC(CC)CNCC([*])CC,sha256:7a103494ab7fd186e1675a548d61bd3fe9c4b342a8a76a69907ec388d77aabec,6.01e-05,-4.221125527997261,3,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28546,[*]CNC(C)C(C)OC(=O)OC([*])C,sha256:a2dcb074fc8a6b5193e21da62d39372673a16e45e594036d55bb221960f62d1c,6.76e-05,-4.170053304058364,4,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28547,[*]CNCC(C)(C)OC(=O)OC([*])CC,sha256:5e22b6932f3c6ae22abee8436dc900be31b2831d7544a0ae345857ea1dcabf40,5.52e-05,-4.2580609222708015,3,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28548,[*]CCSCCOC(=O)OC([*])(C)C,sha256:cf66601fedbf03c137605b5f83b0147f422a00db1f176e5af64eb0c4c16a96e2,9.26e-05,-4.033389013318065,5,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28549,[*]COC(=O)NC([*])CC(C)C,sha256:510ce59c53907cfad8eb0f6b317b2447b1822924ad42a710c690b2e361c00efe,3.15e-05,-4.501689446210399,0,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28550,[*]COC(=O)OCCCCC(=O)NC([*])CC,sha256:e3a4240b464e8ee61407050d6464e006fec5856916cb0bd573a72b7c8b317193,8.22e-05,-4.0851281824599495,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28551,[*]COC(=O)OC([*])CCCC,sha256:a16a0614256005f4581f6ce6fadfade31e7fbbcd18567ca86117e32c71f8c4ba,3.18e-05,-4.497572880015567,0,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28552,[*]CN(C)CC(C)OC(=O)NC([*])C,sha256:0995779797d1dbe243d5993f3ba3b1488acfaa1ce73dbdd055126b8f76ed343c,7.64e-05,-4.11690664142431,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28553,[*]COC(=O)OC([*])CNC(=O)CCCC#C,sha256:b9a30c6fd722ef366c1c0e6eeafa9953b643ca05ab60d6b720892a91b12d8210,4.58e-05,-4.33913452199613,2,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28554,[*]CCCOC(=O)OCC(C)(C)N([*])C,sha256:dd70684136b094b6c8d71b7cd7c613574ffb8cf80d96f009766f9900f0409d95,6.75e-05,-4.170696227168975,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28555,[*]CN(C)CC(C)(C)OC(=O)OC([*])CC,sha256:6d8bfd39ba4fb6f51582d0ec2c04b622791c8e8018a62cd097c2991e0eb90655,3.85e-05,-4.414539270491499,1,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28556,[*]CCNC(=O)OCCN([*])C(C)C,sha256:f0e87ad015180d460da7b2b7cccc1dc3ba841d321c8a52ab3d21c3e3df71b637,0.000104,-3.98296666070122,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28557,[*]COC(=O)OCC([*])NC(C)CCC,sha256:9feec881c0df2e1a13f94e109db20b7d761cd3f0860e83f1d967194df2bd342e,2.87e-05,-4.542118103266008,0,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
